,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value
2892,12.32771383382025,12.131415384615385,72.3561555769849,-0.07156976672811766,47.402992558518065,45.07881206609546,0.49955977533336055,2011-05-02,9771930.0
2893,12.292505077372539,12.106092307692307,52.86885245901639,-0.09807189418131301,42.63234786123505,44.83416564560942,0.500305505666692,2011-05-03,9771930.0
2894,12.250773917574652,12.074953846153846,38.52459016393441,-0.1272906904004092,41.01585041318948,44.452334122367425,0.4917122552619283,2011-05-04,9771930.0
2895,12.221483616222756,12.056276923076924,34.016393442622935,-0.13915965392932783,43.32990908039114,44.3400916181698,0.49944709417179056,2011-05-05,9771930.0
2896,12.185215645744082,12.031292307692308,32.377049180327866,-0.1564454839997964,41.5734431864329,44.06342677499611,0.4944865874452341,2011-05-06,9771930.0
2897,12.169429826840691,12.026584615384614,32.82882195958827,-0.14985808039119064,46.08467787677099,44.2655518851736,0.483451831199146,2011-05-09,9771930.0
2898,12.173319840160637,12.041907692307692,34.34226886840646,-0.12384392565064672,50.38924106930477,44.87792080358672,0.47320527182777844,2011-05-10,9771930.0
2899,12.136141390917512,12.01716923076923,28.83492932056545,-0.14433034087500118,42.34837318781315,44.62496604200936,0.47940489526865143,2011-05-11,9771930.0
2900,12.097207437770011,11.989846153846154,21.89542483660131,-0.16352248567043404,41.540219497964145,44.31649138760484,0.4704902598923192,2011-05-12,9771930.0
2901,12.031268404095396,11.935384615384615,8.79703232644408,-0.20780667335152359,36.64502163055322,43.54934441189968,0.4718838127571536,2011-05-13,9771930.0
2902,11.961170834549597,11.874615384615385,4.2015317513928965,-0.24970674434552187,35.26786921568669,42.721196892278385,0.47246354041735694,2011-05-16,9771930.0
2903,11.898003847276552,11.817661538461538,1.9648002676514136,-0.2780933327955726,35.70158053433268,42.01923525648382,0.4572875732446886,2011-05-17,9771930.0
2904,11.84969585902451,11.772215384615384,4.9840020420399185,-0.28679401226161616,38.58211927165933,41.67552365800137,0.44319560372721084,2011-05-18,9771930.0
2905,11.80587310063801,11.729107692307693,9.147572739196804,-0.2895447552932833,38.809210734781885,41.388892365679425,0.4286816320324101,2011-05-19,9771930.0
2906,11.726959785204317,11.648861538461539,8.07057873274219,-0.32828628040022245,32.36541395503332,40.486544524614814,0.4352043726015236,2011-05-20,9771930.0
2907,11.664116724803984,11.580492307692307,12.202057050210264,-0.34452780257346305,35.370096299448846,39.97489970209822,0.4366183459871291,2011-05-23,9771930.0
2908,11.60764620751137,11.515015384615385,15.73856209150327,-0.35173095752316996,35.84232207932932,39.561641939821335,0.4204313212737627,2011-05-24,9771930.0
2909,11.57321188385665,11.468215384615386,27.64705882352943,-0.3350185466430471,41.166172109206165,39.72209495675982,0.4154005126113511,2011-05-25,9771930.0
2910,11.539887892790755,11.421138461538462,32.15686274509807,-0.3197023438549973,40.84874592593654,39.83476005367749,0.40644333313911163,2011-05-26,9771930.0
2911,11.520665747191467,11.388984615384615,39.215686274509814,-0.29209332635604035,44.31669876937796,40.28295392524754,0.3924116664863179,2011-05-27,9771930.0
2912,11.52369145894597,11.380492307692307,47.29925303454716,-0.24559516932573366,49.99924499723281,41.254583032446064,0.3836679760230096,2011-05-31,9771930.0
2913,11.472638269796281,11.319938461538461,44.320993626913435,-0.2622066398082481,38.912062173573744,41.02033094655883,0.4076916920213661,2011-06-01,9771930.0
2914,11.396281479811952,11.23516923076923,31.925298506760114,-0.3025466051172465,34.44652764081113,40.36295061598406,0.41428514259126853,2011-06-02,9771930.0
2915,11.336567519826417,11.167415384615385,21.047614099663914,-0.31953607531526984,37.301333828221175,40.05678893720778,0.4239790609776064,2011-06-03,9771930.0
2916,11.258370018301308,11.082676923076923,14.32072829131649,-0.3531371009653981,33.89494824725463,39.44060486821246,0.42405198519349163,2011-06-06,9771930.0
2917,11.1784954015089,10.997876923076923,12.061376207403006,-0.3834155444124736,32.81907955585547,38.77845233697676,0.4151911291082422,2011-06-07,9771930.0
2918,11.080149601392833,10.894553846153846,2.899378074816654,-0.42829562922813125,29.583121033525828,37.85891920663167,0.4169631913147963,2011-06-08,9771930.0
2919,11.010907324362615,10.818830769230768,7.076487515083991,-0.4362410446338121,35.56945688311224,37.629972974279724,0.4150372490780252,2011-06-09,9771930.0
2920,10.930068299411646,10.731015384615384,8.973823447507671,-0.45504453482761775,33.18250939452173,37.18522661630392,0.40324887414388055,2011-06-10,9771930.0
2921,10.842370737918444,10.636,10.85769980506823,-0.4781521748959552,31.427473421318254,36.60945129680536,0.4094453831336034,2011-06-13,9771930.0
2922,10.802957604232411,10.588553846153845,16.179337231968812,-0.44773050059171027,41.93336629130344,37.14184279625517,0.42305642719548897,2011-06-14,9771930.0
2923,10.747345480829917,10.526953846153845,21.403508771929797,-0.4387365335374813,38.957554657370686,37.32341398236672,0.4128381109672397,2011-06-15,9771930.0
2924,10.691395828458386,10.467323076923078,25.438596491228054,-0.4314764564033986,38.25587359038544,37.4166599431686,0.41049253161243693,2011-06-16,9771930.0
2925,10.648211533961588,10.421292307692308,21.929824561403507,-0.4120963223934666,40.37615811902837,37.712609760754574,0.39760020792583434,2011-06-17,9771930.0
2926,10.617579877503005,10.389107692307693,24.967047247748994,-0.38264355275726913,42.6883028082461,38.21017906550373,0.3970501930739891,2011-06-20,9771930.0
