,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value,AO,WilliamR
2445,35.870026067359206,36.0844,22.423782658437307,0.17160299397320955,43.786848731497216,52.744765385301086,1.128168160148534,2021-12-01,856894.0049999997,0.7853176470588252,-80.85642317380358
2446,35.87694713910081,36.11430769230769,24.433249370277053,0.15317948064998888,50.66563360769601,52.536852207540576,1.1475847201379243,2021-12-02,943144.6949999996,0.3764176470588225,-55.66750629722926
2447,35.901797359169976,36.15224615384615,37.95130142737193,0.1561447681528776,52.17813650777307,52.50098063756383,1.114185811556644,2021-12-03,854786.1449999996,0.27766764705881997,-49.62216624685137
2448,35.98088987000306,36.24095384615384,54.49202350965572,0.2149221897787541,56.54237934276812,52.90512050808426,1.1431725393025978,2021-12-06,854786.1449999996,0.357198529411761,-31.2342569269522
2449,36.04312911077206,36.307907692307694,61.46095717884126,0.24735552934571103,55.49636696351108,53.16424515362694,1.1279459293524123,2021-12-07,769330.1249999995,0.6954926470588276,-34.76070528967262
2450,36.04904225609728,36.3155076923077,60.78925272879925,0.21650010559508104,50.66568837588553,52.91438947585281,1.1073783629700975,2021-12-08,645416.3749999995,0.8573750000000047,-51.63727959697745
2451,35.94988515947442,36.21156923076923,47.56934807312633,0.0813683621369492,42.566205123679524,51.87957104063548,1.2254227656150904,2021-12-09,615599.1049999995,0.6042455882353011,-70.89397089397093
2452,35.868355531822544,36.11615384615384,36.42582710592781,-0.015060990853179135,43.49605168092369,51.0412191046643,1.196106853785441,2021-12-10,847847.6649999996,0.372289705882352,-68.19126819126818
2453,35.813097413990036,36.03904615384616,32.709632709632686,-0.06969867777303307,45.399982803827236,50.477095474580594,1.180670649943624,2021-12-13,932630.3649999995,-0.03594558823530036,-62.785862785862825
2454,35.779012997529264,35.979446153846155,37.60457289869051,-0.09416183786382248,47.02652348164198,50.13203827528674,1.1806227463762222,2021-12-14,979239.2649999995,-0.40493088235294294,-56.20915032679747
